frame.time_epoch,ip.src,ip.dst,frame.len,tcp.port,udp.port,ip.proto,frame.time_delta,tcp.flags,ip.len,icmp.type,tcp.stream,tcp.seq,tcp.ack,ip.flags.df,tcp.window_size,ip.ttl,tcp.analysis.flags,http.request.uri,http.response.code
"1731512846.439816000","34.139.124.58","172.16.123.188","60","443,62678",,"6","0.000000000","0x0010","40",,"0","1","1","True","163","57",,,
"1731512846.448004000","44.234.198.184","172.16.123.188","60","443,62677",,"6","0.008188000","0x0010","40",,"1","1","1","True","425","243",,,
"1731512846.477558000",,,"60",,,,"0.029554000",,,,,,,,,,,,
"1731512846.477558000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512846.477558000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512846.477558000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512846.477558000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512846.477558000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512846.477558000","172.16.122.250","224.0.0.251","87",,"5353,5353","17","0.000000000",,"73",,,,,"False",,"1",,,
"1731512846.477558000",,,"107",,"5353,5353",,"0.000000000",,,,,,,,,,,,
"1731512846.579078000",,,"60",,,,"0.101520000",,,,,,,,,,,,
"1731512846.579078000","172.16.124.102","224.0.0.251","85",,"5353,5353","17","0.000000000",,"71",,,,,"False",,"1",,,
"1731512846.579078000",,,"105",,"5353,5353",,"0.000000000",,,,,,,,,,,,
"1731512846.579078000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512846.579078000","172.16.121.160","224.0.0.251","82",,"5353,5353","17","0.000000000",,"68",,,,,"False",,"1",,,
"1731512846.579078000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512846.579078000","172.16.121.160","224.0.0.251","82",,"5353,5353","17","0.000000000",,"68",,,,,"False",,"1",,,
"1731512846.579078000","172.16.121.160","224.0.0.251","82",,"5353,5353","17","0.000000000",,"68",,,,,"False",,"1",,,
"1731512846.579078000","172.16.121.160","224.0.0.251","82",,"5353,5353","17","0.000000000",,"68",,,,,"False",,"1",,,
"1731512846.579078000",,,"74",,,,"0.000000000",,,,,,,,,,,,
"1731512846.579078000",,,"882",,,,"0.000000000",,,,,,,,,,,,
"1731512846.684266000",,,"60",,,,"0.105188000",,,,,,,,,,,,
"1731512846.684266000","0.0.0.0","255.255.255.255","364",,"68,67","17","0.000000000",,"350",,,,,"False",,"128",,,
